article_date,article_author,article_author_ip,article_content
2022/01/08 13:09:17,amgdaaaa ,36.225.2.109,?v=4lwFK1ImzcA Stephen Hawking: People who boast about their IQ are losers--霍金: 那些喜歡誇讚自己智商的人都是魯蛇---霍金大師這種擁有超凡智商的人 都很謙虛的不想誇耀自己多聰明--反而嗆那些整天愛把自己高智商掛在嘴邊的人都是魯蛇--霍金是不是好像在臭人？--這樣亂酸人 等等人家的80歲老爸媽要出來罵人了-- 
2022/01/08 10:58:45,amgdaaaa ,36.225.2.109,: 因為我以為黃光芹是偏綠的 : 原來她是鐵藍教母 只是因為跟韓國瑜翻臉 所以才反藍 : 但選完過後 馬上就歸隊了 : 那請問尚毅夫、丁學偉、黃創夏、李正皓、陳東豪、陳敏鳳、 : 周偉航、黃揚明、康仁俊、張國城、譚耀南、姚惠珍、黃世聰、陳高超 : 這些哪些是立場較偏藍 : 哪些又是比較偏綠的 ?? 一些政治光譜比較特殊的名嘴---本土派 (特色:藍綠無一定但偏藍反共) >--1.丁學偉 : 挺侯友宜、顏家 也挺過羅致政 罵過館長半夜吃西瓜--2.尚毅夫 : 挺王金平 挺地方派系 反海公公 (但不確定反共立場)--3.康仁俊 : 親民黨但反共討厭韓 也跟丁學偉一樣挺過羅致政---藍綠都酸派 (特色:立場偏藍都是震傳媒家族成員) >--1.李正皓 : 曾是國民黨青年軍代表 反韓 反宮廷藍 反顏家 刪Q時也稱讚過3Q--2.黃創夏 : 很反共 超挺海公公反韓 國民兩黨都常酸 但標準眷村小孩還是偏藍--3.黃光芹 : 眷村小孩 光譜偏本土藍 老公是偏綠的 韓流受害者---立場大轉換 (深藍<>深綠)_--1.周玉蔻 : 眷村公務員小孩 資深國民黨員 但被李登輝思想馴化後開始轉本土--2.姚立明 : 早期反李倒扁中天常客 被早期的小英馴化後轉本土並尊李 極度反共反K--3.李晶玉 : 外省小孩 中天主播>被老公馴化轉本土>論文門後疑似又轉回藍批蔡--4.張雅琴 : 外省小孩 TVBS時期整天幹譙扁 318後開始轉本土 極度反共反K---- 
2022/01/08 01:03:03,amgdaaaa ,36.225.79.5,喬柯跟北柯兩者的爸媽 都說差不多的話---1.我兒子很乖 很守規矩--2.我兒子是最棒的 他們就是贏不過他才要黑他--3.我兒子被政治打壓--4.單位對我兒子大小眼 不尊重他---不過唯一差別就是喬柯是第一名 但北柯是最後一名-- 
2022/01/08 20:38:47,amgdaaaa ,36.225.2.109,: 顏寬恒造勢晚會現場  正當慷慨激昂的演說的時候 : 突然傳出槍響  現場亂成一片  眾人四處逃竄 : 這時候侯友宜市長一身霹靂小組勁裝登場 : 跳到台上壓制歹徒 : 然後後面一樣柯文哲拯救傷者 : 這一套可以嗎？ 水餃王當場心臟病放 送醫後搶救不治--消息傳回沙鹿現場 現場五子哭墓--這時候 高義突然跳出來 提前履行他的賭注--當場全裸下跪跟水餃公主告白--兩人當場結婚洞房 為水餃一家沖喜--喪事喜辦 瞬間成為地方佳話--  這是高義的賭注阿 你自己去問他
2022/01/08 23:20:35,amgdaaaa ,36.225.2.109,苗栗的綠色票倉 都在海邊--但卓蘭是一個唯一綠色有機會拿下的苗栗山線區--大多時候雖然還是偏藍--但基本上都55波--這次公投同意跟不同意也竟然是55波--他隔壁的區域都是藍藍路 包括下面的中八也是江啟臣的老巢--等於他是被一團深藍包圍起來的小小綠光--卓蘭到底是個什麼樣的選區？ 真特殊呀-- 
2022/01/08 16:53:24,akway ,114.44.111.50,桃機最新確診保全、司機已打三劑疫苗仍染疫--記者洪巧藍台北報導--桃機群聚擴大中央流行疫情指揮中心今（8）日公布國內新增2起本土病例，分別是 桃機 的保全與防疫計程車司機 ，司機Ct值高，經過複驗仍確診，值得注意的是， 這兩人都打過 3劑新冠疫苗，仍遭感染。 中央流行疫情指揮中心今(8)日公布國內新增44例COVID19確定病例，分別為2例本土個案-(案1741417415)及42例境外移入；另確診個案中無新增死亡。--指揮中心表示，本土個案(案1741417415)分別為本國籍1例男性、1例女性，年齡均為50-多歲，均為桃園機場感染事件相關個案；整起桃機相關個案累積14人，當中13人暫列群聚-。---值得注意的是，新增兩個本土個案都打過第三劑。指揮中心發言人莊人祥說明，案17414-是在 12/29打第3劑莫德納 ，而案17415在 12/5打第三劑莫德納 ， 兩位都打了第三劑 ，但案1-7414施打時間是在12/29，應該是效果可能比較不佳。   打兩劑就不太會重症了
2022/01/08 10:33:29,akway ,114.44.111.50,中二立委補選明投票 馬英九：顏家目前沒有聯絡要求幫忙--自由時報--記者施曉光台北報導前總統馬英九今早在台北市草埔市場參加發送春聯活動，在受-訪時面對媒體詢問是否願意幫忙輔選國民黨中二選區立委補選候選人顏寬恒， 馬英九說， 他們如果要他過去，他就會去， 但目前並沒有聯絡他，研判顏家有選舉策略的考量。 對於媒體追問，國民黨主席朱立倫是否不應缺席今天顏寬恒的選前之夜造勢？馬英九則說-，朱主席應該有自己的規劃，就選情考量決定要不要去。--對於因為不滿母親墳墓被質疑違建，而動怒住院的顏寬恒父親顏清標， 媒體問是否有關心 顏清標的身體？ 馬英九表示，他應該身體不錯，應該很快可以出院 ，媒體追問是否有-與標哥談上話？馬英九未正面回應，只說會全力幫顏輔選。--今日陪同馬英九發春聯的還有要參選台北市長的國民黨立委蔣萬安，媒體詢問是否來幫蔣-萬安加油？馬英九說，蔣若決定參選，大家一定會幫忙，只要是國民黨的候選人參選，他-都一定會幫忙。--談到今年的春聯題字，歲辭丑牛寒色去，年逢寅虎曉光新，馬英九解釋，所謂寒色-去代表負面的景象離開，曉光新則是代表新來的一年，相關文字是借用初唐四大詩-人之一的駱賓王的詩句。  --馬英九被問到要不要替顏家站台-說如果要他過去，他就會去--可憐娜-顏家寧可找柯媽來站台-也不想找馬英九站台-看來馬英九招牌連顏家都不想用-- 
2022/01/08 00:23:54,akway ,114.136.149.164,科興靠疫苗半年海撈千億 最大股東是軟銀 中國全網崩潰--自由--財經頻道綜合報導 中國科興生物公司近期披露財報，2021年上半年營收110億美元 ，比2020年同期暴增162倍。 歸屬股東的淨利達51億美元（ 約台幣1412億元），相較於202-0年上半年淨虧1261萬美元（約台幣3.5億元），不可同日而語。結果中國網友發現 ，科興 第1大股東是SAIF Partners IV，隸屬日本軟銀，持股達15.07%， 瞬間全網崩潰。 儘管防護力備受質疑，但中國科興的疫苗因自用及疫苗外交雙重挹注下，截至去年12-月下旬，科興生物已向全球供應25億劑的COVID19疫苗，近期剛交出2021年上半年業績報-告，相當亮眼。--財報顯示，中國科興生物2021年上半年營收110億美元，較前一年同期的6771萬美元暴增1-62倍； 毛利103億美元， 遠高於前一年同期的5820萬美元 。歸屬股東的淨利潤達51億美元 ， 比2020年上半年淨虧1261萬美元，營運堪稱大逆轉。--業績出爐後，股東好高興，中國網民卻崩潰，中媒報導，根據資料 ，中國科興生物第一大 股東是外資，就是隸屬日本軟銀的SAIF Partners IV，持股達15.07%， 其次是董事長尹衛-東，持股8.89%。--也就是說，從半年報觀察 ，軟銀因科興賺了7.7億美元 ，約台幣213億元，雖與軟銀在阿里-巴巴及滴滴的損失無法相比，也算是折抵一點損失。  
2022/01/07 23:41:22,akway ,223.140.201.86,柯文哲跟連勝文都和解共挺顏寬恒了-下次柯文哲跟彭文正和解共打論文門-我想日子也不遠了-想當年2014跟2018三人恩怨情仇-2022都成了過往雲煙-大家都是大小藍一份子-只留下塔綠班當年被他們耍的團團轉歷史-- 
2022/01/07 22:11:22,akway ,223.140.201.86,柯文哲個人宣傳北市府編350萬做市政8周年特輯被轟爆--自由--記者楊心慧台北報導 台北市政府祕書處編列350萬預算 ，要幫市長柯文哲做 市政八 周年紀念特輯 ，議員砲轟根本是替柯文哲個人行銷，更質疑柯文哲想為今年選舉宣傳、-布局。秘書長陳志銘指稱這是要將過去8年政策做紀錄，議員不接受這個說法，痛批市府-各項政策本就該做紀錄，如今還敢討350萬元， 多數議員主張預算全刪，最後這筆錢暫擱 ，將送政黨協商討論。 北市府祕書處111年度新增一筆350萬預算，打算幫柯文哲製作 市政8周年紀念特輯規畫 ，被議員質疑替柯文哲做個人行銷，淪為柯的大內宣；多數議員主張該筆預算全數刪除-，包含議員游淑慧、苗博雅、林亮君、陳建銘、李建昌、周威佑、簡舒培、林穎孟，僅有-3名議員認為特輯應改為北市府市政檢討與展望，但可以通過預算。--議員苗博雅認為， 過往從來沒這筆預算， 市政推行從來沒因這筆錢受到任何阻礙，質疑是-否逢選舉年才要宣傳柯文哲個人，作為議員若眼睜睜看著這筆預算通過，便愧對人民的血-汗錢與把關的職責。--議員游淑慧說， 前市長郝龍斌卸任時，出版《日安台北》 是自己掏腰包 ，柯文哲卻要北市-府幫他做八周年紀念特輯，且今年 觀傳局重要市政行銷也增加1000萬，2021年市府各 局處行銷費用高達1.8億，今年度柯即將卸任的一年，再增加6000多萬，變成2.36億 ，這-就是做大內宣。--議員簡舒培痛批，北市府不該為了個別市長做紀念特輯，與市民權益毫無相干，如果柯覺-得自己做的很好就自掏腰包，柯自稱省錢市長，卻讓秘書處編列預算、浪費公帑做標榜他-個人的特輯。--秘書長陳志銘回應，這筆預算是他編列，並非柯市長要求編，且絕不會做市長個人行銷，-北市府8年推出很多政策，過去7年沒做紀錄，才會在最後一年編列預算，紀錄政策推出的-背後原因；簡舒培不接受說法，怒轟在推行政策時就該紀錄，並非市長離開前才要紀錄，-否則這8年來，柯市府都在睡覺嗎？--陳志銘說，沒有這筆預算就沒辦法做紀錄，8年需要做總整理，簡舒培怒斥，你秘書長-每天領薪水，就是要把這件事做好，不要瞎扯游淑慧也質疑， 行銷政策應該是觀傳局 去做，祕書處不負責市政行銷 ，但陳志銘卻推說跨局處是他統籌。--林穎孟主張預算全數刪除，每個會期柯市長都會有施政報告，市府投入資源在報告內，但-不少議員對報告內容不滿意，也沒深入檢討問題， 與其多花350萬做額外行銷，不如花時 間將施政報告內容寫清楚， 不要只是把內容複製貼上。--對此，市府發言人陳智菡說，規劃市政八周年特輯，主要是希望將8年來北市的進步與改-變，以更有系統且完整的方式向市民報告，接下來政黨協商階段，祕書處會再向議員說明-、溝通，並持續爭取預算。  
2022/01/07 20:52:05,akway ,223.140.201.86,台灣去年出口年增29.4 連3年居亞洲4小龍之冠--自由--記者鄭琪芳台北報導根據財政部統計，我國2021年出口總值4464.5億美元、 刷新 歷史紀錄 ， 較去年同期增加29.4%、為近34年來次大增幅，且增幅連續3年居亞洲4小龍之 冠 ，高於南韓的25.8%、新加坡21.9%及香港22.1%，主要國家中僅略低於中國的31.1%。財-政部統計處長蔡美娜表示，預估今年1月出口可望年增14%至17%。--財政部公布去年12月出口值407.2億美元、 為歷年單月次高， 月減 2.1%、年增23.4%， 連 續18個月成長，為2013年以來最長成長週期 ，也是史上首度連續3個月破400億美元；累計-去年全年出口4464.5億美元、 刷新歷史紀錄， 年增29.4%。此外，去年貿易出超652.8億-美元，同樣 刷新歷史紀錄 ，年增63億美元。--蔡美娜指出， 今年第1季出口可望延續走升態勢，主計總處預估第1季出口成長13.4%，歷 年1月通常是出口淡季 ，但近來缺料情況紓緩，各國製造業持續擴張，雖有Omicron變種病-毒的重大變數，但1月底之後緊接春節連假，不排除廠商提前備貨；不過，若按季節性因-素推估，1月出口為391億美元至401億元，年增14%至17%。  
2022/01/07 18:07:14,akway ,223.140.201.86,賴清德萬華參香挺林昶佐　環南市場自治會長林勝東也到場--nownews-記者黃宣尹台北報導 副總統賴清德今（7）日下午前往萬華雙福宮參香，並力挺一同現身、面臨罷免投票的無 黨籍立委林昶佐； 賴清德說，林昶佐以證明自己表現很好，一定要把他留下來。另曾經在-環南市場疫情爆發時與林昶佐有言語交鋒的 雙福宮副主委、環南市場自治會長林勝東也到 場 ，並在大家都比X手勢宣誓反罷免時也配合比出手勢。 賴清德今日下午赴萬華雙福宮參香，他說，林昶佐已經證明自己的表現非常傑出，基層服-務也很好，這樣的人才要繼續把他留在立法院。我過去擔任行政院長，去立法院接受林-昶佐質詢，他是非常傑出專業的立委。--賴清德說，不管是中央問政還是地方服務都很好的林昶佐，中正萬華鄉親千千萬萬不要放-手，1月9日要出來投不同意罷免票，讓大家過好年，不要再這樣搞了，而是要專心防疫過-年。--林昶佐說，一年多下來一系列惡質罷免，人民都累了。這2年又都有疫情，又要拚經濟，-不要一直搞這些罷免，希望1月9日阻擋下來，把不同意罷免票投出來。--而曾經在環南市場疫情爆發時與林昶佐有言語交鋒的 雙福宮副主委、環南市場自治會長林 勝東也到場 ， 並在大家都比X手勢宣誓反罷免時也配合比出。 與林勝東交情深厚的民進黨台北市議員劉耀仁在現場受訪說，林昶佐是自己6年前介紹給-林勝東認識的， 他們彼此都是很好朋友，沒有芥蒂就不需要大和解。 劉耀仁也說，他很鐵定地說， 林勝東如果會去投票，一定會投不同意罷免，如果太忙睡過 頭就沒去投票，但絕對不會同意罷免 。  
2022/01/07 16:54:13,akway ,223.140.201.86,陳時中宣布第三劑政策後-我老闆跑去問他的醫師群組還有沒有地方打第三劑-很多地方到過年前幾乎都滿了-今明兩天不搶預約-大概要等過年後才能打第三劑了--所以有心要早點打第三劑的人-趕快去搶預約吧-不然就過年後了-- 
2022/01/08 17:38:18,akway ,114.44.111.50,今天柯文哲和楊文科觀賞PLG比賽-幫新竹街口攻城獅加油-希望新竹和台北隊最後能打總冠軍賽--比賽終場-高雄鋼鐵人最終以98：97氣走新竹街口攻城獅--黑特點：柯文哲又發揮反指標功力-擺柯全輸 又再度輸給高雄-回去看高雄車禍豹紋壓壓驚好了-- 
2022/01/09 12:56:45,akway ,114.136.149.164,台北市選舉委員會表示：--截至上午9時30分，投票率約為8%-截至中午12時，投票率約為2成--早上投票情形比去年公投投票日還冷清-老人家居多，較少年輕人的身影--大家怎麼看？-是不是穩了？-看起來投票率不會太高-- 
2022/01/08 23:42:01,akway ,114.136.149.164,國民黨如果認真搞罷免-過25%門檻應該不難--但是最大問題是-國民黨罷免成功後要補選-根本沒有強力人選吧--如果該選區存在強力人選-那個當初立委選舉根本就不會輸阿--最典型就是萬華選區-罷免成功後-國民黨根本不知道要派誰-民進黨又會像中二選區派個實力派-到時又是做白工-- 
2022/01/10 21:43:30,akway ,42.77.249.119,台北市人口減少怎解？柯文哲：開放移民挽救少子化--nownews-記者賴正琳/綜合報導--《四方報》報導，近年來台北市人口急遽減少，市長柯文哲在9日受訪時指出，少子化是-全國問題，若生育率繼續低下去 ，應該思考是否開放增加移民人數來解決總人口下降的問 題。 柯文哲認為，現在少子化，人口下降是全國的問題，也是世界潮流。台灣越來越接近歐美-社會，美國就是這樣，上班到市中心，下班就全部回去，北市這樣的情形也越來越明顯， 晚上在北市睡覺270萬人 ，白天是350萬人，人口差了80萬，這是世界潮流；台灣總人口下-降這件事， 北市有做過研究，少子化真正的原因是不結婚，不是不生 ，因為不結婚的人越-來越多。--柯文哲進一步指出，也許我們真的要慎重考慮台灣的移民政策，如果年輕人都不願意生， 是否酌量增加移民人數，讓人口可以維持平衡 ，這是人口政策嚴肅的題目，這應該要另外-找機會做學術討論，以解決台灣總人口下降的事實。柯文哲表示，台灣2020年的死亡人數-就已經超過出生人數了，但當年有1萬移民人口，所以有撐住；到了2021年，實際上人口-數已在下降。--事實上， 台北人口預估今年5、6月將跌破250萬人，依法3名副市長恐減少1名 。柯文哲指-出，會函釋內政部請內政部說清楚，到底是屆時選出新市長時再改，還是現在就要改。至-於該減少哪一名副市長，柯文哲說，按法律應是照順序。  
2022/01/10 16:39:04,akway ,1.171.129.50,國民黨連吞2敗日媒分析敗選2大關鍵：少了他害的--記者葉睿涵綜合報導--國民黨接連在四大公投、台中補選、罷昶案挫敗，讓許多藍營支持者大為不滿，紛紛將矛-頭指向黨主席朱立倫，要求他下台負責。然而，日本《產經新聞》台灣支局長矢板明夫則-認為，國民黨接連失利的原因在於理念不清晰， 也缺乏了如《西遊記》中唐三藏 般的人物。 矢板明夫10日在粉專指出，藍營將連吞敗仗的責任推給朱立倫有一定的道理，但他認為，-國民黨的主要弱點在於理念不清晰；國民黨自從失去兩蔣時代三民主義、統一中國的-口號後，就一直找不到新的理念和方向，也說不清楚承認九二共識後可以把台灣帶往何處-，所以只能每天拿著放大鏡挑執政黨的毛病，導致選民難以看清國民黨的訴求是什麼。--他補充 ，國民黨如今缺乏如《西遊記》中唐三藏般的人物， 才讓黨內缺乏凝聚力，宛 如一盤散沙，孫悟空、豬八戒、沙和尚的本事都比唐僧大 ，但他們為什麼要跟隨唐僧？ 這是因為唐僧有理念、有願景，知道自己要去哪裡、要做什麼事，這些本事大的徒弟整天 無所事事混日子 ， 所以當他們聽唐僧說要去西天取經普渡眾生時，就找到了人生的方向， 決定保護唐僧。--在矢板明夫的眼中，國民黨自去年發動的一連串罷免和公投都源於看民進黨不順眼，所以-才會民進黨做什麼都高喊反對，也因此不容易得到多數選民的支持。這樣的情況持續蔓延-，就連台南市議會的國民黨議員前陣子提出違背黨內兩岸政策的提案，要求行政院更改國-名為台灣共和國也未受黨紀處分，說明國民黨的理念已經完全沒有主軸了。--矢板明夫表示，如今所有的國民黨政治人物都只想著把公投、選舉當作提高自身聲量的提-款機，黨內缺乏共識，導致在重大議題上找不到共同方向，因此 如果沒有堅持理想、默 默苦行的唐僧，西遊記就是一部妖魔鬼怪打打殺殺的鬧劇，就像今天的國民黨。   日本人跟韓總英雄所見略同
2022/01/10 14:10:30,akway ,223.137.45.17,有不少人講學姊可以換區選-但是學姊死不肯去-硬要跟人硬碰硬--讓我想起一樣是正妹賴品妤-當初沒人想選汐止 被叫去汐止選-人家也乖乖臨危受命去選-務實的到處跑基層拿下勝利--為何學姊就不能去艱困選區-好歹也是民眾黨招牌之一-比賴品妤名聲響亮-不能換區選？-一定要跟經營已久的陳家硬碰硬？-- 
2022/01/10 09:56:23,akway ,1.171.129.50,以色列疫情癱瘓篩檢系統 總理：恐有200400萬公民染疫--自由--即時新聞綜合報導武漢肺炎（新型冠狀病毒病，COVID19）新型變異株Omicron近-期在國際迅速擴散，以色列疫情也迅速升溫， 篩檢系統也被癱瘓 ，該國總理班奈特（Naft-ali Bennett）9日表示，預估這一波迅速擴散的疫情， 將有高達200至400萬人染疫，這數 字相當於以色列 約40%的人口。 以色列疫情近期急遽升溫， 過去一週的確診數幾乎是前一週的4倍 ，與此同時篩檢站也遭-遇嚴峻考驗，當局雖在7日修改篩檢政策，只針對染疫高風險及60歲以上群體需進行最準-確的PCR檢測，其他人則可在家或由醫師自行進行檢測。但因確診數遽增，加上全國藥局-的抗原篩檢套組大缺貨，依然被認為窒礙難行， 篩檢系統可說是被癱瘓。 針對疫情重擊，以色列總理班奈特也表示， 預估這一波由Omicron引發的感染熱潮，將會 造成200至400萬以色列人染疫 ，他表示Omicron不同於先前的alpha和delta，具備了前所-未有的傳染性，他表示可以理解民眾的日常生活正面臨混亂及被破壞，對於檢疫規則頻繁-變換引發民怨，他也呼籲民眾仍要保持耐心，同時也強調，仍會盡可能避免再度封城，並-稱目前沒有證據能證明，封城對防止高傳染性的Omicron變異株傳播是有效的措施。  
2022/01/08 17:08:33,goldenfire ,140.112.175.74,剛剛看到林飛帆講林靜儀喊到喉嚨燒聲的新聞--他跟媒體說--靜儀這幾天都天天喊話...--之前陳其邁談陳時中也是說--陳時中喔他私下很活潑---其實我看到覺得有點驚訝--林靜儀比林飛帆大了快20歲（吧？--陳時中也比陳其邁大了快10歲--他們好像都直接互叫名字欸---我以前教一個年紀比我大的研究所考生--我還是叫人家XX哥--直接叫比我年紀大的人姓名我真的會怕欸--民進黨內是不是習慣都直接叫名字ㄚ？--  我以前去慈濟--他們應該是互稱師兄師姐或者師姑師伯--像陳思宇那種要捐一百萬的叫榮董
2022/01/08 14:18:56,goldenfire ,140.112.25.101,如題--我覺得換臉法很重要ㄚ--但為什麼每次有什麼讓統派 aka 藍白黃不爽的時候--他們就出來哭--換臉法修很快 XXX就很慢---換臉法怎麼了嗎？--為什麼他們恨成這樣？-- 
2022/01/09 12:42:28,goldenfire ,140.112.175.74,轉貼一下 土星六號隻狼 的文----昨天逛大潤發的時候不小心被手推車撞到，結果被轉生到異世界。--那個世界線裡的民進黨沒有在拼選舉，針對公投項目完全沒有任何說明、宣傳，從頭閉嘴-到尾。--結果四大公投就這樣通通過關，股市一洩千里、被美國貿易制裁，還出現缺電危機，核四-議題繼續被操弄。國民黨接連發起更多亂台公投，台灣被搞得烏煙瘴氣。--然後那個世界有個叫飆汗的網紅破口大罵：趕羚羊幾百啊不是說是最會溝通的政府-？請問溝通在哪？連公投通過會有什麼後果都不跟人民講清楚，這就是我們的執政黨-趕羚羊幾百--聽完之後我就又轉生回來了，因為我選擇死亡。  =====--大概就是這樣--如果公投結果四個同意 會不會影響台灣？--如果會的話館長到時候會不會來幹民進黨？--反正不管怎樣 他都要幹的話--至少挑一個對自己比較好的來 才是民進黨的理性決策ㄅ-- 
2022/01/09 10:23:54,goldenfire ,223.136.87.17,2018選那麼爛--民進黨內有人來挑戰蔡英文當然很應該--可是那個人是賴清德就很無言--畢竟賴清德也當了一年多行政院長--蔡政府令人不滿意的政策也都有賴清德的責任--加上那時候蔡英文才剛回擊習近平的元旦宣告--剛被支持者冠上辣台妹的稱呼 覺得有希望（現在回頭看 這個綽號丟臉死根本黑歷史）--結果他竟然跑出來挑戰蔡英文--場面一整個就是很難看--而且賴清德自己丟出來的路線，其實也跟蔡英文沒什麼差--要廢同婚嗎？沒有 要再修一次勞基法嗎？也沒有--這樣搞更讓大家懷疑到底賴出來是幹嘛的---不過老實說，蔡英文在2018大敗之後確實需要黨內初選--尤其是同婚這件事，綠營保守派一整個暴怒甚至倒戈國民黨--沒有初選，民進黨內的人不會服從她的領導--而且最後民進黨確實也團結了--這些事情落幕之後 綠的也沒人怪他了--倒是一些藍白黃整天想挑撥英粉反賴或者賴粉反英--還是洗洗睡吧-- 
